Time,Temperature,Humidity,Heater on,Cooler on,Humidifier on,Alerts
0000,26.3,51.9,1,1,1,0
0005,23.5,56.9,1,1,0,0
0010,22.0,50.5,1,1,0,1
0015,22.1,56.2,1,1,0,1
0020,26.2,58.5,1,0,0,0
0025,22.8,53.0,1,0,1,1
0030,25.2,59.9,1,0,1,1
0035,25.4,48.2,0,0,1,1
0040,23.4,56.3,0,0,1,1
0045,26.1,42.8,1,0,0,0
0050,22.1,53.5,1,0,0,1
0055,21.1,59.7,0,0,1,1
0100,24.9,52.8,1,0,1,1
0105,29.2,50.8,0,0,0,1
0110,23.1,55.5,0,1,0,1
0115,27.4,54.4,1,0,0,1
0120,22.2,43.5,1,1,0,1
0125,20.2,47.7,1,0,0,1
0130,23.3,47.0,0,1,1,0
0135,23.9,55.0,0,1,0,0
0140,22.3,49.7,1,0,0,1
0145,21.0,51.3,1,1,1,1
0150,24.0,40.6,0,0,0,1
0155,26.4,46.8,0,0,0,0
0200,26.1,48.3,0,1,1,0
0205,24.1,44.8,1,0,1,1
0210,28.5,45.0,0,1,0,0
0215,24.3,42.9,0,1,0,0
0220,25.1,57.9,1,1,1,0
0225,28.6,50.9,1,0,0,0
0230,22.6,42.3,1,1,1,1
0235,28.0,43.4,1,1,1,0
0240,28.8,42.8,1,1,1,1
0245,25.9,52.2,0,0,0,0
0250,20.9,42.5,1,0,0,0
0255,22.3,52.7,0,0,1,1
0300,27.7,60.0,0,1,0,1
0305,27.3,44.3,0,0,0,1
0310,27.1,47.9,0,0,0,1
0315,25.9,44.3,1,1,1,1
0320,27.4,56.5,0,0,0,0
0325,22.6,52.0,0,1,0,1
0330,21.0,53.0,0,1,1,1
0335,23.3,44.1,1,0,1,1
0340,21.9,41.7,0,1,0,0
0345,20.4,55.5,1,1,0,1
0350,26.6,53.4,0,1,1,0
0355,23.4,50.6,1,1,0,0
0400,24.2,42.0,1,1,0,0
0405,29.2,46.6,0,1,0,1
0410,26.8,58.0,1,1,1,1
0415,20.0,44.4,0,0,0,1
0420,27.1,55.7,1,1,1,0
0425,22.3,55.2,0,1,1,1
0430,28.7,47.5,0,0,1,0
0435,20.4,45.4,1,0,0,0
0440,25.7,40.1,0,1,1,1
0445,23.5,57.5,1,1,1,0
0450,22.3,48.4,0,0,0,1
0455,25.7,50.1,1,1,1,1
0500,26.0,53.8,1,1,0,0
0505,21.8,50.7,1,0,1,1
0510,25.2,43.8,1,0,0,1
0515,23.6,53.8,0,0,0,1
0520,26.8,52.1,0,0,1,1
0525,29.4,54.2,0,0,0,1
0530,23.8,42.3,0,0,0,0
0535,23.8,46.8,0,0,1,1
0540,25.2,46.8,0,1,0,0
0545,20.3,40.2,0,1,1,0
0550,26.2,45.4,1,0,0,1
0555,23.6,52.2,1,1,1,0
0600,23.2,50.4,0,0,0,0
0605,20.0,58.8,0,0,0,1
0610,25.9,41.1,0,0,0,0
0615,20.7,46.2,1,0,1,0
0620,29.8,40.5,1,1,1,1
0625,22.8,54.4,1,1,0,1
0630,28.3,50.2,1,0,0,1
0635,27.2,51.3,0,0,1,0
0640,25.3,55.0,0,0,1,1
0645,24.2,54.8,1,0,0,1
0650,25.6,50.3,1,1,1,0
0655,28.5,55.0,0,0,1,0
0700,26.2,49.1,1,0,1,1
0705,28.4,54.5,0,0,1,0
0710,22.9,48.7,1,1,0,1
0715,28.8,44.2,1,0,0,0
0720,29.6,50.6,0,0,0,1
0725,23.9,52.4,0,0,1,1
0730,20.7,47.2,0,0,1,0
0735,29.2,58.8,0,1,0,1
0740,24.7,51.4,0,1,0,0
0745,20.1,43.3,1,1,1,0
0750,24.7,58.0,1,1,1,0
0755,27.8,51.8,1,1,0,1
0800,22.1,43.6,0,0,0,1
0805,20.1,51.6,1,0,1,1
0810,29.0,58.6,1,0,0,1
0815,26.8,56.0,1,1,1,1
0820,25.8,52.5,1,1,0,1
0825,24.1,49.3,0,0,1,1
0830,22.3,47.4,1,1,1,0
0835,29.7,48.8,0,0,1,1
0840,29.2,46.4,0,1,1,0
0845,26.7,40.5,0,1,1,0
0850,27.9,48.0,1,1,0,1
0855,28.0,45.9,0,1,1,1
0900,27.8,55.4,0,1,0,1
0905,24.3,42.2,1,0,0,1
0910,25.9,44.4,0,0,0,0
0915,20.6,42.5,0,0,1,1
0920,27.1,43.4,0,0,0,0
0925,20.7,52.4,0,0,0,0
0930,28.4,42.9,0,0,1,0
0935,20.8,47.3,0,1,1,1
0940,26.5,57.1,1,1,1,1
0945,25.3,53.4,1,0,0,1
0950,27.3,52.7,0,0,0,1
0955,26.4,51.0,1,1,0,0
1000,23.1,54.8,0,1,1,1
1005,23.7,53.3,0,0,0,1
1010,26.2,40.4,0,0,0,1
1015,24.0,57.3,0,1,1,0
1020,22.1,56.9,0,1,0,0
1025,22.7,43.5,0,0,1,0
1030,29.3,52.8,0,0,1,0
1035,23.3,43.5,0,1,0,1
1040,22.8,50.9,1,1,0,1
1045,25.0,56.5,0,1,1,1
1050,21.5,50.9,1,0,1,0
1055,25.7,54.8,1,1,1,0
1100,23.2,49.7,1,1,1,1
1105,26.7,49.2,1,1,0,0
1110,27.7,43.3,0,1,1,1
1115,27.4,45.9,0,0,1,0
1120,27.5,40.8,0,1,0,1
1125,28.6,43.0,1,1,0,1
1130,29.9,57.4,1,1,1,1
1135,20.2,50.0,1,1,1,0
1140,20.7,55.3,1,0,1,1
1145,20.5,59.7,1,1,0,0
1150,24.3,40.8,1,1,0,1
1155,21.4,42.9,0,1,1,1
1200,22.8,50.0,1,0,1,0
1205,29.0,46.5,0,0,0,1
1210,28.4,56.4,0,1,0,0
1215,27.7,43.1,0,0,1,0
1220,22.9,50.4,0,0,0,0
1225,23.1,48.4,0,1,1,1
1230,29.2,58.6,1,1,1,1
1235,22.3,43.4,1,1,1,0
1240,29.1,51.3,1,0,0,1
1245,24.1,40.7,1,1,0,0
1250,23.2,57.0,0,1,1,1
1255,25.3,50.4,0,0,0,1
1300,30.0,46.0,1,0,0,0
1305,23.5,56.4,1,0,1,1
1310,20.2,40.1,0,0,0,1
1315,29.6,59.8,0,0,0,0
1320,27.9,40.9,1,0,1,0
1325,25.8,40.6,1,0,0,1
1330,27.9,40.2,1,1,1,0
1335,20.1,55.3,0,1,0,0
1340,24.5,42.8,0,0,0,1
1345,20.2,55.6,1,0,0,1
1350,20.3,50.1,0,0,1,0
1355,25.9,41.8,0,1,0,0
1400,23.1,43.5,1,1,0,1
1405,24.9,58.6,0,1,1,1
1410,20.4,55.1,1,1,0,0
1415,24.1,48.9,1,0,0,0
1420,24.9,44.0,1,0,0,0
1425,25.7,58.4,1,0,1,1
1430,22.4,50.1,1,1,1,1
1435,22.3,52.2,1,1,0,0
1440,23.1,56.6,1,1,0,1
